unique ,u1,u2,u3,u4,,v1,v2,v3,v4,sum,,number of restaurant ,percentage 
,Pizza, Italian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Continental, Chinese,,,,,,,,,,
,Continental, Chinese, North Indian,,,,,,,,,,
,North Indian, Chinese, South Indian,,,,,,,,,,
,Cafe, Continental, European, Beverages,,,,,,,,,
,Continental, South Indian,,,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,North Indian, Asian, Continental,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Continental, Fast Food, Tea,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Cafe, Chinese, Fast Food, Italian,,,,,,,,,
,Fast Food, Chinese,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Continental, North Indian, Thai, Chinese,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe, Fast Food,,,,,,,,,,,
,Cafe, Continental,,,,,,,,,,,
,North Indian, Italian, Continental,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Chinese, Continental, North Indian,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,North Indian, European, Mediterranean,,,,,,,,,,
,American, Fast Food,,,,,,,,,,,
,Seafood, Chinese, Thai,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Maharashtrian,,,,,,,,,,,,
,North Indian, Maharashtrian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Cafe, Desserts,,,,,,,,,,,
,North Indian, European, Mediterranean, Asian,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Italian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Malwani, North Indian, Chinese, Seafood,,,,,,,,,
,Maharashtrian,,,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,Cuisine Varies,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Seafood, Continental,,,,,,,,,,
,South Indian, North Indian,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Mediterranean, Italian,,,,,,,,,,,
,Continental, Seafood, Goan, Andhra, Kerala, Thai,,,,,,,
,Parsi,,,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,Fast Food, Italian, Pizza,,,,,,,,,,
,North Indian, Continental, Chinese,,,,,,,,,,
,Continental, North Indian, Fast Food, Street Food, South Indian,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Street Food, Mithai,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Street Food, South Indian, Mithai,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Italian, Pizza, Fast Food,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,Mithai, North Indian, South Indian, Street Food,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Mithai, North Indian, South Indian, Street Food,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Raw Meats, North Indian, Fast Food,,,,,,,,,,
,Chinese, North Indian, Italian, Mughlai,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Street Food, Fast Food, Beverages,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Desserts, Ice Cream,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, South Indian, Chinese,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian, Biryani,,,,,,,,,,,
,Bengali,,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Chinese, Mughlai, North Indian,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,Chinese, North Indian, Mughlai, Pizza,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food, North Indian,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,Turkish,,,,,,,,,,,,
,Pizza, Italian,,,,,,,,,,,
,Burger, Fast Food,,,,,,,,,,,
,Asian, Chinese,,,,,,,,,,,
,American,,,,,,,,,,,,
,Continental, Chinese, North Indian,,,,,,,,,,
,Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian,,,,,,,
,North Indian, South Indian,,,,,,,,,,,
,North Indian, Street Food, Mughlai,,,,,,,,,,
,Cafe, Desserts,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Seafood, South Indian, Andhra, Hyderabadi, Goan,,,,,,,,
,Chinese, Fast Food, North Indian, South Indian,,,,,,,,,
,Italian, Continental, Cafe,,,,,,,,,,
,Fast Food, North Indian, Chinese, Desserts,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Cafe, North Indian, Fast Food,,,,,,,,,,
,Chinese, South Indian,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food, North Indian, Chinese,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Healthy Food,,,,,,,,,,,,
,Chinese, North Indian, Italian,,,,,,,,,,
,Bakery, Desserts, Fast Food, Pizza, Burger, Continental,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Chinese, South Indian, Fast Food,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Desserts, Bakery, Pizza, Burger, Continental,,,,,,,,
,Cafe, Bakery,,,,,,,,,,,
,Bakery, Desserts, Fast Food, Mithai,,,,,,,,,
,Fast Food, Beverages,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Chinese, South Indian, North Indian,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Cafe, Bakery,,,,,,,,,,,
,South Indian, Chinese,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Italian, Fast Food,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian, European,,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,Italian, Pizza, Fast Food,,,,,,,,,,
,Continental, Asian, North Indian,,,,,,,,,,
,Japanese, Korean,,,,,,,,,,,
,Continental,,,,,,,,,,,,
,Malaysian, Indonesian,,,,,,,,,,,
,Japanese, Asian,,,,,,,,,,,
,Continental, North Indian, Mughlai, Italian,,,,,,,,,
,North Indian, South Indian, Chinese, Mithai, Fast Food,,,,,,,,
,Beverages, Fast Food,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Street Food,,,,,,,,,,,
,North Indian, South Indian, Chinese, Fast Food, Mithai,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Raw Meats, Fast Food, North Indian,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Bakery, Desserts, Chinese, Fast Food,,,,,,,,,
,Fast Food, Chinese, Bakery,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Fast Food, Chinese,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,Bakery, Chinese,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Fast Food, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Street Food, Chinese, North Indian, Mithai,,,,,,,,,
,Italian, Pizza, Fast Food,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,Chinese, Italian, North Indian,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Mughlai, Chinese, Continental,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Mughlai, Chinese, Italian,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Pizza, Fast Food, Chinese,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,North Indian, South Indian, Street Food,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Fast Food, Italian, Chinese,,,,,,,,,,
,North Indian, South Indian, Chinese,,,,,,,,,,
,North Indian, South Indian, Chinese, Street Food, Mithai,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,Bakery, Mithai,,,,,,,,,,,
,North Indian, South Indian, Street Food, Mithai,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Street Food, Chinese, South Indian, Mithai,,,,,,,,
,Bengali, North Indian, Chinese,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Lebanese, Arabian, Moroccan,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Italian, Pizza, Fast Food,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Fast Food, North Indian,,,,,,,,,,,
,Japanese, Chinese, Malaysian, Thai, Vietnamese,,,,,,,,
,Lebanese,,,,,,,,,,,,
,Chinese, Thai, North Indian,,,,,,,,,,
,Burger, Desserts, Fast Food,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Italian, Continental,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,North Indian, Street Food,,,,,,,,,,,
,Chinese, Japanese, Thai,,,,,,,,,,
,Mithai, North Indian,,,,,,,,,,,
,Fast Food, North Indian, Desserts, Ice Cream,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Bakery, Italian, Fast Food, Chinese, Continental,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai,,,,,
,Cafe,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian, South Indian,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Chinese, North Indian, Seafood,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Kashmiri, North Indian,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Cafe, Healthy Food, North Indian,,,,,,,,,,
,South Indian, Chettinad, North Indian, Chinese,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Gujarati, South Indian, North Indian,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Assamese, Chinese,,,,,,,,,,,
,North Eastern,,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,South Indian, Chinese, Fast Food,,,,,,,,,,
,North Indian, South Indian, Chinese,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Mithai, Fast Food,,,,,,,,,,,
,North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Fast Food, Chinese, South Indian,,,,,,,,,
,North Indian, Street Food, Chinese, South Indian,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, South Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,North Indian, Fast Food, South Indian,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Beverages, Street Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,North Indian, South Indian,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Desserts,,,,,,,,,,,,
,North Indian, South Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Mughlai, Biryani,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts,,,,,,
,Street Food, Chinese, North Indian, Mithai,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Street Food, North Indian, South Indian, Mithai,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Biryani, Mughlai,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Street Food, Mithai,,,,,,,,,,,
,Desserts,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Street Food, Mithai,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Ice Cream, Mithai, North Indian, Street Food,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Mughlai, Street Food,,,,,,,,,,,
,Desserts, Street Food,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food, Mithai,,,,,,,,,,,
,Mithai, North Indian,,,,,,,,,,,
,Street Food, Beverages,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Fast Food, Beverages,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Mithai, Bakery,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Mughlai, Fast Food, South Indian,,,,,,,,,
,North Indian, Mughlai, Biryani,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Mughlai, North Indian, Bengali, Continental,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,Chinese, Mughlai, North Indian,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Mughlai, North Indian, Chinese,,,,,,,,,,
,North Indian, Chinese, Biryani,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Bengali,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Kashmiri,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Desserts,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Continental, American, Fast Food,,,,,,,,,,
,Bengali, North Indian,,,,,,,,,,,
,North Indian, Mughlai, Biryani, Bengali,,,,,,,,,
,Beverages,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Fast Food, Chinese,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,Biryani, North Indian,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Continental, North Indian, Chinese,,,,,,,,,,
,North Indian, Italian, Fast Food,,,,,,,,,,
,North Indian, Chinese, Continental, Italian,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Chinese, North Indian, Mughlai,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,Chinese, South Indian,,,,,,,,,,,
,Cafe, Italian, Continental,,,,,,,,,,
,Gujarati,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, South Indian,,,,,,,,,,,
,Biryani, Mughlai,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Bakery, Mithai,,,,,,,,,,,
,Chinese, Japanese, Korean, Asian,,,,,,,,,
,Chinese, North Indian, Street Food,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Street Food, Mithai,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Italian, Tex-Mex, Continental, North Indian,,,,,,,,,
,North Indian, Lucknowi,,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,North Indian, Continental, Italian,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Finger Food, Continental, North Indian, Chinese,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese, North Indian, Mughlai, Continental,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Chinese, Italian, Continental,,,,,,,,,
,North Indian, Chinese, Italian, Continental,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,North Indian, Italian, Continental,,,,,,,,,,
,Continental, Italian, Asian, Indian,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,Continental, Mexican, American, Italian, North Indian,,,,,,,,
,Burger, Fast Food,,,,,,,,,,,
,Burger, Juices, Finger Food,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, European,,,,,,,,,,,
,Chinese, Continental, North Indian,,,,,,,,,,
,North Indian, Continental, Italian,,,,,,,,,,
,North Indian, Chinese, Italian, Mediterranean,,,,,,,,,
,Pizza, Italian, Cafe,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe, Tea,,,,,,,,,,,
,Asian, Japanese, Chinese, Thai,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Burger, Desserts, Fast Food,,,,,,,,,,
,Burger, Desserts, Fast Food,,,,,,,,,,
,North Indian, Continental, European,,,,,,,,,,
,North Indian, Mexican, Italian, Continental,,,,,,,,,
,Healthy Food, Beverages,,,,,,,,,,,
,Street Food, North Indian, South Indian, Chinese, Mithai,,,,,,,,
,North Indian, Continental,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Continental, Chinese, Italian, Thai, Mughlai,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,American, Fast Food,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,Goan, Seafood,,,,,,,,,,,
,Cafe, North Indian, Italian, Japanese, Fast Food,,,,,,,,
,European, Chinese, North Indian, Italian,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,Arabian, Mexican,,,,,,,,,,,
,Bengali, South Indian, North Indian, Mughlai,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Portuguese, African,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,North Indian, Italian, Chinese, Mexican,,,,,,,,,
,North Indian, Chinese, Mughlai, Italian,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Italian, Pizza, Fast Food,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,Chinese, Italian, Continental, North Indian,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Finger Food, European, North Indian,,,,,,,,,,
,Gujarati, Rajasthani,,,,,,,,,,,
,Continental, American, Tex-Mex, North Indian,,,,,,,,,
,Pizza, Italian,,,,,,,,,,,
,Beverages, Fast Food,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Mughlai, North Indian, Chinese,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,American, Fast Food, Salad, Healthy Food,,,,,,,,,
,Finger Food, North Indian, Continental, Italian,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,North Indian, Continental, Finger Food,,,,,,,,,,
,Finger Food, North Indian, Italian,,,,,,,,,,
,Italian, Mediterranean, Continental, North Indian,,,,,,,,,
,North Indian, Mediterranean, Asian,,,,,,,,,,
,North Indian, Continental, Fast Food,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Mediterranean, Asian, Continental,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,American, Continental, Italian, North Indian, Asian,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Chinese, Japanese, Italian, Seafood,,,,,,,,,
,Lebanese, Mediterranean, Middle Eastern, Arabian,,,,,,,,,
,Tea,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Italian, Asian, American,,,,,,,,,
,North Indian, Chinese, Italian, Continental,,,,,,,,,
,North Indian, Chinese, Continental, Italian,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Biryani, North Indian, Hyderabadi,,,,,,,,,,
,Biryani, Hyderabadi,,,,,,,,,,,
,North Indian, Chinese, Italian, American, Middle Eastern,,,,,,,,
,Continental, North Indian, Chinese, Mediterranean,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Modern Indian,,,,,,,,,,,,
,Japanese,,,,,,,,,,,,
,Healthy Food, Continental, Italian,,,,,,,,,,
,North Indian, Mediterranean, Asian, Fast Food,,,,,,,,,
,Continental, Mediterranean, Italian, North Indian,,,,,,,,,
,Fast Food, American, Burger,,,,,,,,,,
,Continental, American, Asian, North Indian,,,,,,,,,
,Italian, Mexican, Continental, North Indian, Finger Food,,,,,,,,
,Asian, North Indian,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Continental, Mexican, Burger, American, Pizza, Tex-Mex,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, European,,,,,,,,,,,
,North Indian, Afghani, Mughlai,,,,,,,,,,
,Continental, North Indian, Italian, Asian,,,,,,,,,
,North Indian, European, Asian, Mediterranean,,,,,,,,,
,North Indian, Continental,,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
